Class_Index,disease_Class_Name,Disease_Description,Treatment_Recommendations,Bio_Pesticides_Fertilizers
0,Apple___Apple_scab,"Fungal disease causing dark, olive-green to black scabby lesions on leaves and fruit. Lesions may have a velvety appearance with fuzzy growth. Severe infections cause premature leaf drop and fruit deformation.","FUNGICIDE: Mancozeb 75% WP at 600-800g/acre OR Difenoconazole 25% EC at 100-150ml/acre OR Myclobutanil 10% WP at 80-100g/acre. Apply every 7-10 days during wet periods. CULTURAL: Remove fallen leaves, improve air circulation.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
1,Apple___Black_rot,"Fungal disease causing circular, brown to black lesions with concentric rings (bulls-eye pattern) on fruit and leaves. Infected fruit becomes mummified and shriveled, remaining attached to tree.","FUNGICIDE: Mancozeb 75% WP at 600-800g/acre OR Tebuconazole 25% EC at 200ml/acre OR Captan 50% WP at 500-750g/acre. Apply preventively every 14 days. CULTURAL: Prune infected branches, remove mummified fruit.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
2,Apple___Cedar_apple_rust,Fungal disease causing bright yellow-orange spots on upper leaf surface with corresponding cup-shaped structures on lower surface. May cause premature leaf drop and reduced fruit quality.,FUNGICIDE: Myclobutanil 10% WP at 80-100g/acre OR Propiconazole 25% EC at 100-150ml/acre OR Sulfur 80% WP at 2-3kg/acre. Apply at bud break and repeat every 10-14 days. CULTURAL: Remove alternate hosts (juniper).,BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
3,Apple___healthy,No disease symptoms present. Leaves are green and healthy with normal growth patterns.,"PREVENTIVE: Balanced fertilization (NPK 19:19:19 at 5kg/acre), proper pruning for air circulation, avoid overhead watering. Regular monitoring for early disease detection.",BIO-FERTILIZER: Mycorrhizal fungi (Glomus intraradices) 50g/tree + Azotobacter chroococcum 25g/tree. ORGANIC: Vermicompost 5-10kg/tree + Neem cake 2kg/tree. GROWTH ENHANCER: Seaweed extract 2ml/liter spray monthly.
4,Blueberry___healthy,No disease symptoms present. Leaves and berries show healthy blue-green coloration with vigorous growth.,"PREVENTIVE: Maintain soil pH 4.5-5.5, proper drainage, balanced fertilization. Avoid excessive nitrogen. Monitor for pests and diseases regularly.",BIO-FERTILIZER: Azotobacter 250g/acre + PSB 250g/acre + KMB (Potash Mobilizing Bacteria) 250g/acre. ORGANIC: Vermicompost 3-5 tons/acre + Neem cake 500kg/acre. FOLIAR: Liquid seaweed extract 2ml/liter.
5,Cherry_(including_sour)___Powdery_mildew,"Fungal disease causing white powdery growth on leaves, shoots, and fruit. Infected leaves may curl, distort, and develop reddish discoloration. Fruit may crack or become unmarketable.","FUNGICIDE: Sulfur 80% WP at 2-3kg/acre OR Myclobutanil 10% WP at 60-80g/acre OR Potassium bicarbonate 2% spray. Apply every 7-14 days. CULTURAL: Improve air circulation, reduce humidity.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
6,Cherry_(including_sour)___healthy,No disease symptoms present. Leaves are bright green with healthy growth and normal fruit development.,"PREVENTIVE: Proper pruning, balanced fertilization (NPK 15:15:15 at 3-4kg/acre), adequate spacing for air circulation. Monitor for pest and disease development.",BIO-FERTILIZER: Mycorrhizal fungi (Glomus intraradices) 50g/tree + Azotobacter chroococcum 25g/tree. ORGANIC: Vermicompost 5-10kg/tree + Neem cake 2kg/tree. GROWTH ENHANCER: Seaweed extract 2ml/liter spray monthly.
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,"Fungal disease causing rectangular, gray to tan lesions with dark borders parallel to leaf veins. Lesions may have yellow halos. Severe infections cause significant yield loss.","FUNGICIDE: Pyraclostrobin 25% EC at 200ml/acre OR Propiconazole + Pyraclostrobin 400ml/acre OR Azoxystrobin 23% SC at 250ml/acre. Apply at V8-VT stage. CULTURAL: Crop rotation, residue management.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
8,Corn_(maize)___Common_rust_,"Fungal disease causing small, circular to oval, reddish-brown pustules (uredinia) scattered over leaf surfaces. Pustules may rupture to release orange spores.",FUNGICIDE: Propiconazole 25% EC at 150-200ml/acre OR Tebuconazole 25% EC at 250ml/acre. Apply at first rust appearance and repeat every 14 days. CULTURAL: Plant resistant varieties when available.,BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
9,Corn_(maize)___Northern_Leaf_Blight,"Fungal disease causing elliptical, grayish-green to tan lesions with dark borders on leaves. Lesions may be 1-6 inches long. Severe infections cause premature senescence.","FUNGICIDE: Azoxystrobin 23% SC at 250ml/acre OR Pyraclostrobin + Metconazole 500ml/acre. Apply at V8-VT growth stages. CULTURAL: Plant resistant hybrids, crop rotation.",BIO-FUNGICIDE: Trichoderma viride 2-3g/liter + Bacillus subtilis 2g/liter spray every 7-10 days. ORGANIC: Neem oil 5ml/liter + Garlic-Ginger extract 10ml/liter. SOIL: Trichoderma harzianum 5kg/acre soil application + Pseudomonas fluorescens 250g/acre.
